AGS;LeistungPV
06636;87821.773
01060;129189.801
05370;188998.540
01051;359461.292
06432;124122.119
07135;111305.177
09575;375910.633
06635;189395.966
01054;405772.715
05774;482407.291
08326;211070.931
05970;99864.624
01057;81370.267
13075;622004.812
03152;270.680
09679;316371.959
05566;514633.442
08317;403045.891
05554;653139.353
07143;193687.350
03151;115726.700
07232;395018.663
01055;159362.830
15083;326059.034
03452;137740.020
03402;18840.558
03453;345421.979
09375;409797.049
04011;59557.928
05334;149784.350
06532;144093.643
12064;857775.149
12072;242747.259
07134;55748.159
08127;429166.770
08128;247012.653
05515;90760.997
03254;128997.312
03256;167609.228
12067;282883.282
15081;319508.431
14522;341489.879
03358;97289.275
07339;134003.788
15084;257880.686
07140;134725.458
03251;288806.412
03455;83008.474
10043;90787.012
09780;193098.241
03461;174091.840
01059;516743.712
07331;123496.029
03451;108604.386
09373;437624.669
07141;69483.892
09479;84221.137
07319;32876.348
03355;74889.942
09675;280579.817
05362;158723.503
12068;329577.375
09176;299606.029
05974;298790.658
03360;87952.989
01058;343962.895
05154;369687.578
06534;185185.591
03157;68389.352
03359;122334.298
12065;270391.247
06633;235669.018
03357;147811.864
03454;677942.350
13072;555213.653
03356;73531.634
09177;178031.741
16063;137334.078
12073;434097.062
09574;95754.082
16068;105498.579
03353;90005.879
03155;117840.436
05770;282353.156
13073;468601.899
05966;60455.473
07231;210626.745
08336;129413.927
15089;317318.893
06434;84113.403
01061;205877.247
06632;128298.317
12062;436085.356
09174;224555.087
05162;188976.558
07133;137365.555
06437;67925.125
06535;183883.459
07333;75022.491
06435;209138.447
09677;244443.123
09186;208998.028
05766;223231.945
16061;133147.085
01053;116818.868
08417;184221.438
05954;81834.135
08212;57164.586
16065;156543.694
09374;330179.455
03457;107176.666
12069;269246.280
12060;519723.540
05166;183803.608
13076;872948.832
03352;165230.217
05558;297842.206
15085;315356.263
09561;53286.714
07233;90609.360
07340;98242.212
12063;287350.445
03241;293045.901
08126;205582.518
03252;73460.543
14628;113008.979
06533;129702.466
09572;127562.975
09672;252063.332
05116;76461.437
05366;211766.200
05562;192835.812
07235;219258.098
03405;30911.112
15082;524389.516
07337;103678.736
05570;281116.270
07334;94440.018
07315;40320.196
06431;177456.369
03361;87211.549
09476;86479.644
09475;255578.487
09371;327372.545
06631;246688.466
03459;420625.350
09376;366508.737
12070;323792.010
03456;224670.590
14730;408408.743
13071;806981.557
05358;204192.255
16073;72588.769
03460;269231.466
08136;337982.263
16077;156268.580
07336;59821.686
15090;315527.169
04012;14256.234
16074;180489.346
05762;243582.991
08135;183796.823
08119;188167.022
16076;152722.411
10046;144029.985
13074;233157.400
12061;328756.076
07131;68397.456
10044;126755.949
14625;421251.948
09377;171194.691
05170;266974.468
09577;345097.300
03401;17389.043
08325;161272.855
09178;279246.186
05114;45690.120
05978;166681.172
08327;155203.125
09571;703505.398
14521;165205.950
09477;171860.336
12066;676115.462
03462;51213.332
09777;336021.092
01003;34592.659
15088;369516.722
09274;486631.877
12071;491079.140
15087;503630.000
03153;78689.702
01056;68468.287
05112;53641.375
05962;117522.494
09472;205531.273
05915;59081.026
03404;43016.674
06439;68792.180
03351;96565.501
16067;130075.911
01001;21999.491
10041;155001.727
09674;368103.682
14729;405920.631
05754;284129.773
15086;219126.893
15091;262759.450
09277;472715.921
09565;16011.285
03154;52415.586
09279;436790.135
03255;49871.911
14524;190546.749
03257;130965.727
16056;27292.161
08125;311184.419
03156;27.935
14627;317580.626
09778;417174.895
03458;193366.144
02000;84276.927
05374;111131.956
07137;141884.013
05711;81056.047
08237;125201.430
08335;236558.590
16062;107417.017
05958;239437.352
05158;113817.176
07335;125574.793
05512;40769.142
05513;34679.133
06440;142300.636
16075;130320.624
12052;123147.383
16071;143998.667
14523;130871.803
05913;83094.715
08117;160207.439
08425;392796.506
01062;91457.273
03159;192748.771
06634;245031.073
09771;306529.893
08316;158595.065
08315;216022.137
10042;133534.681
15001;74284.643
07332;93161.012
09372;267726.026
03102;25182.795
11000;374782.675
08421;69975.466
14626;281841.141
09573;134656.346
09276;179757.145
05758;127842.897
16064;161579.254
05124;42007.944
09190;191562.205
08116;196587.271
14612;65271.642
14713;112622.336
08215;330022.514
08225;213244.300
05914;35699.613
09678;216480.895
09576;220768.981
09773;241083.509
09273;484978.786
05382;229792.410
09676;112618.933
08235;120457.433
09189;278597.575
09187;295047.185
13003;43457.815
09473;202493.503
08311;63955.640
03158;85054.252
09272;161719.278
16070;77299.648
09162;114254.602
03354;55411.051
15003;66545.957
15002;86843.633
07338;82081.606
05315;109605.639
09471;217674.282
08415;241980.280
06531;137415.132
09673;141213.334
03403;50646.412
08426;402305.182
09261;91035.799
12054;35468.060
09474;163410.921
08436;458512.320
10045;100659.435
05120;15752.547
05122;37475.326
08337;163752.867
09564;77426.770
09175;129317.038
09478;177252.547
09275;604132.819
09362;48768.769
09181;241878.922
07111;25027.106
16052;44720.911
07132;73442.074
09179;161233.799
12053;62446.463
16069;119049.124
09779;363762.867
14511;80778.289
08437;271862.731
16051;74248.785
13004;52421.203
03101;47333.919
09185;317053.893
03103;26610.004
09163;20509.608
08118;249367.650
08236;151602.056
09774;301081.719
07317;23084.220
06611;41213.981
09772;435227.597
16072;57663.981
08226;337075.144
09278;496938.345
09182;62962.885
08231;32568.160
07316;28463.226
09271;429740.572
16066;117931.571
08416;129276.006
